회사명,거래소코드,회계년도,종가(원),보통주(천원),시총,상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)국보디자인,66620,12-16,17200,7500000,1.29E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-17,18300,7500000,1.3725E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-18,13400,7500000,1.005E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-19,17050,7500000,1.27875E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-20,17600,7500000,1.32E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국순당,43650,12-10,11100,17858304,1.98227E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-11,7970,17858304,1.42331E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-12,7390,17858304,1.31973E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-13,5940,17858304,1.06078E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-14,5900,17858304,1.05364E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-15,6410,17858304,1.14472E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-16,6940,17858304,1.23937E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-17,5680,17858304,1.01435E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-18,4060,17858304,72504714240,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-19,3250,17858304,58039488000,제조업,  음료 제조업,    알코올음료 제조업
(주)국순당,43650,12-20,5620,17858304,1.00364E+11,제조업,  음료 제조업,    알코올음료 제조업
(주)국영지앤엠,6050,12-10,1180,20412792,24087094560,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-11,1485,20412792,30312996120,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-12,897,29412792,26383274424,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-13,989,29412792,29089251288,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-14,999,29961037,29931075963,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-15,2465,32921561,81151647865,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-16,2195,34237349,75150981055,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-17,1130,34895243,39431624590,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-18,1580,34895243,55134483940,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-19,1960,34895243,68394676280,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-20,2770,34895243,96659823110,제조업,  비금속 광물제품 제조업,    유리 및 유리제품 제조업
(주)그래디언트,35080,12-10,4635,60757093,2.81609E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-11,6700,60842093,4.07642E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-12,6980,60842093,4.24678E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-13,10650,60842093,6.47968E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-14,9200,60000000,5.52E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-15,11050,59500000,6.57475E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-16,5020,59000000,2.9618E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-17,3940,58500000,2.3049E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-18,2350,58500000,1.37475E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그래디언트,35080,12-19,2170,58500000,1.26945E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
