회사명,거래소코드,회계년도,종가(원),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),시총
(주)에이치비테크놀러지,78150,12-21,2680,78990426,2.11694E+11
(주)에이치비테크놀러지,78150,12-21,2680,78990426,2.11694E+11
(주)에이치시티,72990,12-21,16300,6995611,1.14028E+11
(주)에이치시티,72990,12-21,16300,6995611,1.14028E+11
(주)에이치알에스,36640,12-21,7230,16354800,1.18245E+11
(주)에이치알에스,36640,12-21,7230,16354800,1.18245E+11
(주)에이치앤비디자인,227100,12-21,8210,10786221,88554874410
(주)에이치앤비디자인,227100,12-21,8210,10786221,88554874410
(주)에이치엘사이언스,239610,12-21,35700,5392115,1.92499E+11
(주)에이치엘사이언스,239610,12-21,35700,5392115,1.92499E+11
(주)에이치케이,44780,12-21,2120,18505787,39232268440
(주)에이치케이,44780,12-21,2120,18505787,39232268440
(주)에이치피오,357230,12-21,13600,19938160,2.71159E+11
(주)에이치피오,357230,12-21,13600,19938160,2.71159E+11
(주)에이텍,45660,12-21,24350,8260000,2.01131E+11
(주)에이텍,45660,12-21,24350,8260000,2.01131E+11
(주)에이텍티앤,224110,12-21,24450,5340000,1.30563E+11
(주)에이텍티앤,224110,12-21,24450,5340000,1.30563E+11
(주)에이트원,230980,12-21,2005,59116184,1.18528E+11
(주)에이트원,230980,12-21,2005,59116184,1.18528E+11
(주)에이티세미콘,89530,12-21,1635,0,0
(주)에이티세미콘,89530,12-21,1635,30962842,50624246670
(주)에이티세미콘,89530,12-21,1635,30962842,50624246670
(주)에이팩트,200470,12-21,6560,18476189,1.21204E+11
(주)에이팩트,200470,12-21,6560,18476189,1.21204E+11
(주)에이프로,262260,12-21,34800,7065942,2.45895E+11
(주)에이프로,262260,12-21,34800,0,0
(주)에이프로,262260,12-21,34800,7065942,2.45895E+11
(주)에이프로젠헬스케어앤게임즈,109960,12-21,701,178695217,1.25265E+11
(주)에이프로젠헬스케어앤게임즈,109960,12-21,701,178695217,1.25265E+11
(주)에치에프알,230240,12-21,33200,12882020,4.27683E+11
(주)에치에프알,230240,12-21,33200,12882020,4.27683E+11
(주)에코마케팅,230360,12-21,16700,32733029,5.46642E+11
(주)에코마케팅,230360,12-21,16700,32733029,5.46642E+11
(주)에코프로,86520,12-21,117500,23975672,2.81714E+12
(주)에코프로,86520,12-21,117500,23975672,2.81714E+12
(주)에코프로비엠,247540,12-21,500800,22919466,1.14781E+13
(주)에코프로비엠,247540,12-21,500800,22919466,1.14781E+13
(주)에코프로에이치엔,383310,12-21,77200,15304932,1.18154E+12
(주)에코프로에이치엔,383310,12-21,77200,15304932,1.18154E+12
(주)에프알텍,73540,12-21,3445,11400000,39273000000
